names,min_players,max_players,avg_time,year,avg_rating,image_url,age,category,designer
The Resistance: Avalon,5,10,30,2012,7.66148,https://cf.geekdo-images.com/original/img/kFDTpCfe476T1bzZUtNAbGyIjNg=/0x0/pic1398895.jpg,13,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents",Don Eskridge
Star Realms,2,2,20,2014,7.62809,https://cf.geekdo-images.com/original/img/XRgMJVv4YweLlANgVvxeZsQ4lm0=/0x0/pic1903816.jpg,12,"Card Game, Fighting, Science Fiction","Robert Dougherty, Darwin Kastle"
Legendary Encounters: An Alien Deck Building Game,1,5,45,2014,7.81708,https://cf.geekdo-images.com/original/img/H0uIoKm2phCiJDqQn52PFLDgYis=/0x0/pic2225180.jpg,17,"Card Game, Fighting, Horror, Movies / TV / Radio theme, Science Fiction","Ben Cichoski, Daniel Mandel"
Ora et Labora,1,4,180,2011,7.7502,https://cf.geekdo-images.com/original/img/pXyZlviudQYPzceCgoeWm46pyc4=/0x0/pic1165426.jpg,13,"City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",Uwe Rosenberg
Pandemic: Iberia,2,5,45,2016,8.05208,https://cf.geekdo-images.com/original/img/65W6mKBX34X2pLswgsfKPCfAcdw=/0x0/pic3000850.png,8,Medical,"Jesús Torres Castro, Matt Leacock"
Istanbul,2,5,60,2014,7.62369,https://cf.geekdo-images.com/original/img/mJdCiWN7ePw8Q73GDhXupvKfOnE=/0x0/pic1885326.jpg,10,Economic,Rüdiger Dorn
Ticket to Ride: Europe,2,5,60,2005,7.57594,https://cf.geekdo-images.com/original/img/lN5ivSfgaJwEMXgyLijCtyKVUBs=/0x0/pic66668.jpg,8,"Trains, Travel",Alan R. Moon
Chaos in the Old World,3,4,120,2009,7.67797,https://cf.geekdo-images.com/original/img/zFu27DT2SQdHj1IzLv-n7yTfa_s=/0x0/pic1318481.jpg,13,"Fantasy, Fighting, Horror, Mythology, Wargame",Eric M. Lang
Suburbia,1,4,90,2012,7.59573,https://cf.geekdo-images.com/original/img/v2kosqFeCkidrDEnKQYZSk-qH_k=/0x0/pic1418335.jpg,8,"City Building, Economic",Ted Alspach
Charterstone,1,6,75,2017,8.02188,https://cf.geekdo-images.com/original/img/QSEaUq4_I2KoVDrF1FGNJ7eAINs=/0x0/pic3322613.jpg,14,"City Building, Economic, Medieval",Jamey Stegmaier
Railways of the World,2,6,120,2005,7.69013,https://cf.geekdo-images.com/original/img/xeEMH5X0jBoXeY48Q5pE0JDOHP8=/0x0/pic3869603.jpg,10,"Trains, Transportation, Video Game Theme","Glenn Drover, Martin Wallace"
Commands & Colors: Ancients,2,2,60,2006,7.78164,https://cf.geekdo-images.com/original/img/NrNEpsg1hrcPtMCzaLHLLXTmdoI=/0x0/pic132447.jpg,12,"Ancient, Wargame",Richard Borg
Nations,1,5,200,2013,7.69987,https://cf.geekdo-images.com/original/img/6Zne9rNVAxgEzMmf4WmcEtH_xsc=/0x0/pic1591406.png,14,"Card Game, Civilization, Economic","Rustan Håkansson, Nina Håkansson, Einar Rosén, Robert Rosén"
Captain Sonar,2,8,60,2016,7.71093,https://cf.geekdo-images.com/original/img/rVAq1lKg98oU6tvLjERL-ZNiMfc=/0x0/pic3013621.png,14,"Deduction, Fighting, Nautical, Real-time","Roberto Fraga, Yohan Lemonnier"
